date,latitude,longitude,parameter,value
2020-10-06,41.5549,-8.4067,pm10,2.92
2020-10-21,41.5549,-8.4067,pm10,4.94
2020-11-05,41.5549,-8.4067,pm10,2.57
2020-11-06,41.5549,-8.4067,pm10,7.73
2020-11-07,41.5549,-8.4067,pm10,5.74
2020-11-08,41.5549,-8.4067,pm10,7.07
2020-11-09,41.5549,-8.4067,pm10,13.23
2020-11-10,41.5549,-8.4067,pm10,14.45
2020-11-11,41.5549,-8.4067,pm10,12.57
2020-11-12,41.5549,-8.4067,pm10,20.27
2020-11-13,41.5549,-8.4067,pm10,23.84
2020-11-14,41.5549,-8.4067,pm10,12.44
2020-11-15,41.5549,-8.4067,pm10,15.6
2020-11-16,41.5549,-8.4067,pm10,20.75
2020-11-17,41.5549,-8.4067,pm10,27.91
2020-11-18,41.5549,-8.4067,pm10,22.02
2020-11-19,41.5549,-8.4067,pm10,18.3
2020-11-20,41.5549,-8.4067,pm10,7.7
2020-11-21,41.5549,-8.4067,pm10,9.27
2020-11-22,41.5549,-8.4067,pm10,28.1
2020-11-23,41.5549,-8.4067,pm10,35.97
2020-11-24,41.5549,-8.4067,pm10,43.85
2020-11-25,41.5549,-8.4067,pm10,13.5
2020-11-26,41.5549,-8.4067,pm10,10.1
2020-11-27,41.5549,-8.4067,pm10,25.25
2020-11-28,41.5549,-8.4067,pm10,15.93
2020-11-29,41.5549,-8.4067,pm10,4.47
2020-11-30,41.5549,-8.4067,pm10,4.34
2020-12-01,41.5549,-8.4067,pm10,8.22
2020-12-02,41.5549,-8.4067,pm10,9.72
2020-12-03,41.5549,-8.4067,pm10,22.24
2020-12-04,41.5549,-8.4067,pm10,9.86
2020-12-05,41.5549,-8.4067,pm10,42.94
2020-12-11,41.5549,-8.4067,pm10,39.86
2020-12-12,41.5549,-8.4067,pm10,40.44
2020-12-13,41.5549,-8.4067,pm10,6.55
2020-12-14,41.5549,-8.4067,pm10,6.87
2020-12-16,41.5549,-8.4067,pm10,14.1
2020-12-17,41.5549,-8.4067,pm10,16.86
2020-12-18,41.5549,-8.4067,pm10,8.39
2020-12-19,41.5549,-8.4067,pm10,20.22
2020-12-20,41.5549,-8.4067,pm10,21.7
2020-12-21,41.5549,-8.4067,pm10,4.8
2020-12-22,41.5549,-8.4067,pm10,7.87
2020-12-23,41.5549,-8.4067,pm10,9.93
2020-12-24,41.5549,-8.4067,pm10,10.1
2020-12-25,41.5549,-8.4067,pm10,4.87
2020-12-26,41.5549,-8.4067,pm10,9.27
2020-12-27,41.5549,-8.4067,pm10,46.83
2020-12-28,41.5549,-8.4067,pm10,19.39
2020-12-29,41.5549,-8.4067,pm10,15.7
2020-12-30,41.5549,-8.4067,pm10,31.25
2020-12-31,41.5549,-8.4067,pm10,13.93
2021-01-01,41.5549,-8.4067,pm10,14.0
2021-01-02,41.5549,-8.4067,pm10,25.82
2021-01-03,41.5549,-8.4067,pm10,34.74
2021-01-04,41.5549,-8.4067,pm10,41.0
2021-01-05,41.5549,-8.4067,pm10,28.97
2021-01-06,41.5549,-8.4067,pm10,24.67
2021-01-07,41.5549,-8.4067,pm10,14.0
2021-01-08,41.5549,-8.4067,pm10,16.59
2021-01-09,41.5549,-8.4067,pm10,9.19
2021-01-10,41.5549,-8.4067,pm10,5.03
2021-01-11,41.5549,-8.4067,pm10,19.17
2021-01-12,41.5549,-8.4067,pm10,64.55
2021-01-13,41.5549,-8.4067,pm10,83.13
2021-01-14,41.5549,-8.4067,pm10,75.67
2021-01-15,41.5549,-8.4067,pm10,58.9
2021-01-16,41.5549,-8.4067,pm10,57.67
2021-01-17,41.5549,-8.4067,pm10,92.0
2021-01-18,41.5549,-8.4067,pm10,82.72
2021-01-19,41.5549,-8.4067,pm10,28.02
2021-01-20,41.5549,-8.4067,pm10,19.82
2021-01-21,41.5549,-8.4067,pm10,29.93
2021-01-22,41.5549,-8.4067,pm10,18.05
2021-01-23,41.5549,-8.4067,pm10,16.88
2021-01-24,41.5549,-8.4067,pm10,20.43
2021-01-25,41.5549,-8.4067,pm10,9.69
2021-01-26,41.5549,-8.4067,pm10,8.52
2021-01-27,41.5549,-8.4067,pm10,16.01
2021-01-28,41.5549,-8.4067,pm10,16.2
2021-01-29,41.5549,-8.4067,pm10,5.03
2021-01-30,41.5549,-8.4067,pm10,34.07
2021-01-31,41.5549,-8.4067,pm10,18.18
2021-02-01,41.5549,-8.4067,pm10,17.57
2021-02-02,41.5549,-8.4067,pm10,5.17
2021-02-03,41.5549,-8.4067,pm10,17.29
2021-02-04,41.5549,-8.4067,pm10,10.99
2021-02-05,41.5549,-8.4067,pm10,8.99
2021-02-06,41.5549,-8.4067,pm10,1.69
2021-02-07,41.5549,-8.4067,pm10,8.98
2021-02-08,41.5549,-8.4067,pm10,19.7
2021-02-09,41.5549,-8.4067,pm10,15.2
2021-02-10,41.5549,-8.4067,pm10,14.6
2021-02-11,41.5549,-8.4067,pm10,7.9
2021-02-12,41.5549,-8.4067,pm10,22.57
2021-02-13,41.5549,-8.4067,pm10,25.33
2021-02-14,41.5549,-8.4067,pm10,16.68
2021-02-15,41.5549,-8.4067,pm10,7.95
2021-02-16,41.5549,-8.4067,pm10,17.89
2021-02-17,41.5549,-8.4067,pm10,12.07
2021-02-18,41.5549,-8.4067,pm10,11.1
2021-02-19,41.5549,-8.4067,pm10,15.7
2021-02-20,41.5549,-8.4067,pm10,21.4
2021-02-21,41.5549,-8.4067,pm10,3.55
2021-02-22,41.5549,-8.4067,pm10,9.63
2021-02-23,41.5549,-8.4067,pm10,8.13
2021-02-24,41.5549,-8.4067,pm10,9.8
2021-02-25,41.5549,-8.4067,pm10,9.1
2021-02-26,41.5549,-8.4067,pm10,26.27
2021-02-27,41.5549,-8.4067,pm10,27.77
2021-02-28,41.5549,-8.4067,pm10,11.77
2021-03-01,41.5549,-8.4067,pm10,24.93
2021-03-02,41.5549,-8.4067,pm10,15.5
2021-03-03,41.5549,-8.4067,pm10,36.47
2021-03-04,41.5549,-8.4067,pm10,50.25
2021-03-05,41.5549,-8.4067,pm10,34.72
2021-03-06,41.5549,-8.4067,pm10,19.45
2021-03-07,41.5549,-8.4067,pm10,35.52
2021-03-08,41.5549,-8.4067,pm10,10.11
2021-03-09,41.5549,-8.4067,pm10,9.4
2021-03-10,41.5549,-8.4067,pm10,24.23
2021-03-11,41.5549,-8.4067,pm10,7.3
2021-03-12,41.5549,-8.4067,pm10,12.22
2021-03-13,41.5549,-8.4067,pm10,15.53
2021-03-14,41.5549,-8.4067,pm10,11.0
2021-03-15,41.5549,-8.4067,pm10,6.88
2021-03-16,41.5549,-8.4067,pm10,6.4
2021-03-17,41.5549,-8.4067,pm10,2.89
2021-03-18,41.5549,-8.4067,pm10,6.63
2021-03-19,41.5549,-8.4067,pm10,8.07
2021-03-20,41.5549,-8.4067,pm10,5.5
2021-03-21,41.5549,-8.4067,pm10,6.3
2021-03-22,41.5549,-8.4067,pm10,12.85
2021-03-23,41.5549,-8.4067,pm10,21.07
2021-04-06,41.5549,-8.4067,pm10,33.45
2021-04-07,41.5549,-8.4067,pm10,6.5
2021-04-08,41.5549,-8.4067,pm10,23.57
2021-04-09,41.5549,-8.4067,pm10,22.93
2021-04-10,41.5549,-8.4067,pm10,13.0
2021-04-11,41.5549,-8.4067,pm10,3.8
2021-04-12,41.5549,-8.4067,pm10,2.86
2021-04-13,41.5549,-8.4067,pm10,7.97
2021-04-14,41.5549,-8.4067,pm10,3.55
2021-04-15,41.5549,-8.4067,pm10,5.25
2021-04-16,41.5549,-8.4067,pm10,8.13
2021-04-17,41.5549,-8.4067,pm10,5.4
2021-04-18,41.5549,-8.4067,pm10,5.22
2021-04-19,41.5549,-8.4067,pm10,9.35
2021-04-20,41.5549,-8.4067,pm10,6.92
2021-04-21,41.5549,-8.4067,pm10,8.27
2021-04-22,41.5549,-8.4067,pm10,10.38
2021-04-23,41.5549,-8.4067,pm10,11.17
2021-04-24,41.5549,-8.4067,pm10,7.35
2021-04-25,41.5549,-8.4067,pm10,5.05
2021-04-26,41.5549,-8.4067,pm10,6.07
