date,latitude,longitude,parameter,value,tempmax,tempmin,temp,feelslike,dew,humidity,severerisk,precip,snow,windspeed,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
2020-12-18,41.5549,-8.4067,pm10,8.39,55.4,50.2,52.8,52.8,48.2,84.5,,0.32,0,16.9,1018.9,93.9,5.3,51.9,4.5,3
2020-12-18,41.5549,-8.4067,pm25,4.03,55.4,50.2,52.8,52.8,48.2,84.5,,0.32,0,16.9,1018.9,93.9,5.3,51.9,4.5,3
2021-01-13,41.5549,-8.4067,pm10,83.13,49.7,32.5,40.1,37.5,35.4,84.2,,0.0,0,7.7,1031.8,1.2,6.3,36.1,3.0,2
2021-01-13,41.5549,-8.4067,pm25,52.27,49.7,32.5,40.1,37.5,35.4,84.2,,0.0,0,7.7,1031.8,1.2,6.3,36.1,3.0,2
2021-01-21,41.5549,-8.4067,pm10,29.93,58.0,52.0,55.4,55.4,53.3,92.8,,0.518,0,23.1,1009.4,91.0,4.7,38.9,3.3,2
2021-01-21,41.5549,-8.4067,pm25,5.07,58.0,52.0,55.4,55.4,53.3,92.8,,0.518,0,23.1,1009.4,91.0,4.7,38.9,3.3,2
2021-03-18,41.5549,-8.4067,pm10,6.63,64.2,47.2,56.5,56.3,35.6,46.2,,0.0,0,13.2,1022.0,31.9,7.9,187.1,16.0,7
2021-03-18,41.5549,-8.4067,pm25,2.95,64.2,47.2,56.5,56.3,35.6,46.2,,0.0,0,13.2,1022.0,31.9,7.9,187.1,16.0,7
2021-03-23,41.5549,-8.4067,pm10,21.07,58.8,42.1,50.8,50.0,44.0,77.9,,0.0,0,10.7,1023.5,18.4,6.8,231.2,19.9,8
2021-03-23,41.5549,-8.4067,pm25,15.1,58.8,42.1,50.8,50.0,44.0,77.9,,0.0,0,10.7,1023.5,18.4,6.8,231.2,19.9,8
2021-04-10,41.5549,-8.4067,pm10,13.0,62.6,54.5,57.6,57.6,54.1,88.3,,0.257,0,8.7,1011.3,67.7,5.9,87.7,7.5,3
2021-04-10,41.5549,-8.4067,pm25,6.23,62.6,54.5,57.6,57.6,54.1,88.3,,0.257,0,8.7,1011.3,67.7,5.9,87.7,7.5,3
2021-04-13,41.5549,-8.4067,pm10,7.97,61.5,52.5,57.7,57.7,52.3,83.2,,0.294,0,7.8,1019.5,87.4,5.8,87.7,7.5,5
2021-04-13,41.5549,-8.4067,pm25,4.05,61.5,52.5,57.7,57.7,52.3,83.2,,0.294,0,7.8,1019.5,87.4,5.8,87.7,7.5,5
2021-04-27,41.5549,-8.4067,pm10,12.4,63.9,53.4,58.6,58.6,54.1,85.3,,0.0,0,8.2,1006.7,59.2,6.5,257.9,22.3,8
2021-04-27,41.5549,-8.4067,pm25,8.89,63.9,53.4,58.6,58.6,54.1,85.3,,0.0,0,8.2,1006.7,59.2,6.5,257.9,22.3,8
2021-05-27,41.5549,-8.4067,pm10,15.45,67.5,52.2,60.5,60.5,53.2,77.6,,0.0,0,11.3,1015.8,67.2,6.8,320.3,27.6,9
2021-05-27,41.5549,-8.4067,pm25,6.43,67.5,52.2,60.5,60.5,53.2,77.6,,0.0,0,11.3,1015.8,67.2,6.8,320.3,27.6,9
2021-06-06,41.5549,-8.4067,pm10,14.92,69.0,54.4,61.3,61.3,55.0,80.5,,0.0,0,11.5,1022.4,39.7,6.9,341.4,29.5,9
2021-06-06,41.5549,-8.4067,pm25,7.43,69.0,54.4,61.3,61.3,55.0,80.5,,0.0,0,11.5,1022.4,39.7,6.9,341.4,29.5,9
2021-06-08,41.5549,-8.4067,pm10,11.81,70.1,54.9,61.7,61.7,55.0,79.6,,0.0,0,14.1,1021.7,46.0,6.5,344.3,29.8,9
2021-06-08,41.5549,-8.4067,pm25,6.32,70.1,54.9,61.7,61.7,55.0,79.6,,0.0,0,14.1,1021.7,46.0,6.5,344.3,29.8,9
2021-06-12,41.5549,-8.4067,pm10,6.22,85.5,63.0,74.1,74.1,58.3,59.9,,0.003,0,21.6,1016.1,31.6,7.9,297.2,25.6,9
2021-06-12,41.5549,-8.4067,pm25,2.72,85.5,63.0,74.1,74.1,58.3,59.9,,0.003,0,21.6,1016.1,31.6,7.9,297.2,25.6,9
2021-07-01,41.5549,-8.4067,pm10,15.65,67.4,56.8,61.7,61.7,56.9,84.7,,0.0,0,11.2,1018.5,70.6,6.0,333.8,29.0,9
