date,min,max,median,q1,q3,stdev,count
2020-10-06T00:00:00.000Z,2.92,2.92,2.92,2.92,2.92,0,1
2020-10-21T00:00:00.000Z,2.9,7.97,4.94,3.75,6.63,1.825,4
2020-11-05T00:00:00.000Z,0.6,9.44,2.57,1.88,3.83,1.779,91
2020-11-06T00:00:00.000Z,0.2,22.87,7.73,2.68,10.77,4.815,329
2020-11-07T00:00:00.000Z,1.27,12.87,5.74,3.77,7.97,2.569,382
2020-11-08T00:00:00.000Z,1.57,28.83,7.07,4.47,17.02,7.013,351
2020-11-09T00:00:00.000Z,4.07,172.37,13.23,10.7,17.1,13.533,279
2020-11-10T00:00:00.000Z,2.2,197.98,14.45,9.5,21.6,21.312,332
2020-11-11T00:00:00.000Z,2.23,179,12.57,7.9,31.55,19.812,333
2020-11-12T00:00:00.000Z,5.37,112.68,20.27,10.5,34.39,14.017,293
2020-11-13T00:00:00.000Z,3.8,267.3,23.84,14.96,30.1,17.394,308
2020-11-14T00:00:00.000Z,5.88,61.47,12.44,10,30.05,13.384,336
2020-11-15T00:00:00.000Z,1.27,249.4,15.6,11.07,21.63,18.799,291
2020-11-16T00:00:00.000Z,6.87,272.02,20.75,13.55,38.88,37.462,280
2020-11-17T00:00:00.000Z,5.97,380.3,27.91,21.03,36.17,26.631,310
2020-11-18T00:00:00.000Z,11.32,65.47,22.02,16.82,32.7,10.897,371
2020-11-19T00:00:00.000Z,4.83,94.55,18.3,12.73,23.75,13.805,370
2020-11-20T00:00:00.000Z,1,43.27,7.7,4.95,11.6,6.051,364
2020-11-21T00:00:00.000Z,0.47,394.33,9.27,1.93,20.2,41.384,314
2020-11-22T00:00:00.000Z,4.45,108.43,28.1,15.37,50.73,25.087,306
2020-11-23T00:00:00.000Z,13.23,208.23,35.97,27.38,51.24,25.048,273
2020-11-24T00:00:00.000Z,11.77,172.8,43.85,33.1,73.12,25.247,288
2020-11-25T00:00:00.000Z,0.63,104.9,13.5,7.6,20.75,17.974,297
2020-11-26T00:00:00.000Z,0.2,63.37,10.1,4.38,24.7,13.736,288
2020-11-27T00:00:00.000Z,6.73,282.2,25.25,20.23,36.47,18.856,278
2020-11-28T00:00:00.000Z,3.37,103.97,15.93,11.07,29.93,16.427,283
2020-11-29T00:00:00.000Z,0.97,12.97,4.47,3.23,5.77,2.065,279
2020-11-30T00:00:00.000Z,0.07,48.33,4.34,1.63,9.61,6.974,256
2020-12-01T00:00:00.000Z,1.77,118.87,8.22,5.07,22.77,21.3,226
2020-12-02T00:00:00.000Z,2.06,58.53,9.72,5.8,14.47,7.854,238
2020-12-03T00:00:00.000Z,3.57,213.4,22.24,10.07,41.6,22.011,238
2020-12-04T00:00:00.000Z,0.7,80.13,9.86,6.23,16.7,13.164,266
2020-12-05T00:00:00.000Z,20.83,421.2,42.94,32.43,56.8,40.841,144
2020-12-11T00:00:00.000Z,26.95,60.97,39.86,34.13,44.37,7.071,91
2020-12-12T00:00:00.000Z,14.73,80.73,40.44,34.2,48.73,12.165,318
2020-12-13T00:00:00.000Z,1.6,32.03,6.55,4.43,9.57,4.764,304
2020-12-14T00:00:00.000Z,0.5,122.33,6.87,3.76,10.33,9.423,225
2020-12-16T00:00:00.000Z,3.03,79.5,14.1,7.3,26.63,12.094,167
2020-12-17T00:00:00.000Z,3.9,47,16.86,9.93,22.67,8.533,274
2020-12-18T00:00:00.000Z,2,25.43,8.39,6.15,11.4,4.821,304
2020-12-19T00:00:00.000Z,1.4,144.16,20.22,7.84,45.58,22.522,288
2020-12-20T00:00:00.000Z,6.4,87.53,21.7,17.32,34.13,16.897,303
2020-12-21T00:00:00.000Z,0.07,16.63,4.8,2.17,9.27,4.42,294
2020-12-22T00:00:00.000Z,2.27,20.83,7.87,4.92,10.85,3.508,280
2020-12-23T00:00:00.000Z,1.97,52,9.93,7.07,14.43,8.535,307
2020-12-24T00:00:00.000Z,1.67,65.47,10.1,6.65,12.97,6.658,281
2020-12-25T00:00:00.000Z,0.3,41.67,4.87,2.33,12,7.637,310
2020-12-26T00:00:00.000Z,1.03,169.43,9.27,3.73,24.03,38.741,291
2020-12-27T00:00:00.000Z,6.23,234.5,46.83,29.6,60.72,23.788,301
2020-12-28T00:00:00.000Z,9.27,66.83,19.39,15.24,25.15,7.913,292
2020-12-29T00:00:00.000Z,3.33,185.53,15.7,7.63,23.97,14.539,290
2020-12-30T00:00:00.000Z,14.97,114.93,31.25,26.07,51.97,24.053,294
2020-12-31T00:00:00.000Z,2.57,93.17,13.93,9.77,21.23,13.929,306
2021-01-01T00:00:00.000Z,3,194.03,14,8.39,21.59,13.995,289
2021-01-02T00:00:00.000Z,3.03,92.97,25.82,16.03,33.67,16.367,258
2021-01-03T00:00:00.000Z,9.19,97.23,34.74,20.85,49.15,19.402,252
2021-01-04T00:00:00.000Z,10.13,219.03,41,25.98,61.7,28.584,236
2021-01-05T00:00:00.000Z,4.2,399.6,28.97,19.62,40.42,31.162,256
2021-01-06T00:00:00.000Z,7.63,427.1,24.67,15.57,46.7,32.171,243
2021-01-07T00:00:00.000Z,1.83,394.83,14,7.57,38.79,40.04,263
2021-01-08T00:00:00.000Z,4.09,100.13,16.59,10.72,27.67,13.861,280
2021-01-09T00:00:00.000Z,1.8,49.73,9.19,5.5,15.33,7.101,285
2021-01-10T00:00:00.000Z,0.4,52.13,5.03,2.31,10.93,9.363,277
2021-01-11T00:00:00.000Z,2.7,473.23,19.17,7.8,54.55,52.22,261
2021-01-12T00:00:00.000Z,20.23,171.93,64.55,42.23,89.23,31.294,274
2021-01-13T00:00:00.000Z,34,201.33,83.13,60,104.63,34.498,255
2021-01-14T00:00:00.000Z,22.17,229.07,75.67,39.36,100.53,39.376,255
2021-01-15T00:00:00.000Z,10.07,191.43,58.9,41.73,72.93,30.362,275
2021-01-16T00:00:00.000Z,12.17,261.6,57.67,37.32,103.2,53.078,265
2021-01-17T00:00:00.000Z,16.7,197.2,92,67.43,137.77,44.113,231
2021-01-18T00:00:00.000Z,18.77,212.37,82.72,62.92,96.3,33.183,232
2021-01-19T00:00:00.000Z,6.27,286.52,28.02,13.77,51.8,41.994,210
2021-01-20T00:00:00.000Z,1.6,45.6,19.82,8.02,27.2,10.675,263
2021-01-21T00:00:00.000Z,1.83,56.1,29.93,20.5,38.93,10.978,243
2021-01-22T00:00:00.000Z,4.17,66.83,18.05,11.92,24.02,9.74,260
2021-01-23T00:00:00.000Z,1.6,67.5,16.88,9.25,28.82,17.115,256
2021-01-24T00:00:00.000Z,5.47,56,20.43,12.64,27.88,10.059,277
2021-01-25T00:00:00.000Z,1.12,64.59,9.69,5.13,18.02,9.021,239
2021-01-26T00:00:00.000Z,1.27,55.07,8.52,3.87,15.9,7.631,248
2021-01-27T00:00:00.000Z,3.6,476.9,16.01,10.02,28.9,36.152,226
2021-01-28T00:00:00.000Z,4.33,173.37,16.2,8.43,38.63,24.833,275
2021-01-29T00:00:00.000Z,1.07,24.6,5.03,3.85,6.54,2.905,201
2021-01-30T00:00:00.000Z,6.43,63.13,34.07,28.83,39.67,8.89,251
2021-01-31T00:00:00.000Z,0.1,54.4,18.18,7.08,36.44,15.794,260
2021-02-01T00:00:00.000Z,2.93,73.63,17.57,10.07,49.43,21.282,211
2021-02-02T00:00:00.000Z,1,20.67,5.17,3.4,7.8,4.218,237
2021-02-03T00:00:00.000Z,5.3,35.83,17.29,11.87,22.9,6.652,136
2021-02-04T00:00:00.000Z,4.17,59.3,10.99,8.43,18.07,11.033,270
2021-02-05T00:00:00.000Z,1.5,36.29,8.99,5.3,15.17,6.685,234
2021-02-06T00:00:00.000Z,0,20.07,1.69,0.73,8.3,5.123,238
2021-02-07T00:00:00.000Z,2.87,32,8.98,6.79,13.7,5.085,240
2021-02-08T00:00:00.000Z,6.03,151.1,19.7,13.22,26.67,14.864,256
2021-02-09T00:00:00.000Z,3.95,34.47,15.2,10.4,20.5,6.737,235
2021-02-10T00:00:00.000Z,3.47,117.57,14.6,10.3,17.87,9.066,243
2021-02-11T00:00:00.000Z,1.17,28.13,7.9,4.17,11.23,4.932,223
2021-02-12T00:00:00.000Z,7.7,66.93,22.57,17.6,27.3,7.096,267
2021-02-13T00:00:00.000Z,10.83,112.63,25.33,18.79,36.47,13.541,253
2021-02-14T00:00:00.000Z,2.85,67.09,16.68,9.47,35.29,17.264,242
2021-02-15T00:00:00.000Z,2.13,66.43,7.95,5.25,16.1,7.79,243
2021-02-16T00:00:00.000Z,2.97,52.6,17.89,8.6,24.83,10.027,230
2021-02-17T00:00:00.000Z,3.33,32.77,12.07,9.6,14.25,4.61,228
2021-02-18T00:00:00.000Z,2.72,61.13,11.1,7.57,19.93,8.89,267
2021-02-19T00:00:00.000Z,3.6,47.73,15.7,7.83,27.27,12.054,226
2021-02-20T00:00:00.000Z,5.4,59.37,21.4,14.63,35.33,12.057,243
2021-02-21T00:00:00.000Z,0.17,53.1,3.55,1.57,10.11,8.811,256
2021-02-22T00:00:00.000Z,3.77,40.33,9.63,6.4,18.6,8.867,215
2021-02-23T00:00:00.000Z,3.23,19.7,8.13,6.68,10.63,2.743,231
2021-02-24T00:00:00.000Z,2.4,68.4,9.8,5,15.47,8.169,237
2021-02-25T00:00:00.000Z,1.83,68.4,9.1,5,16.13,10.749,235
2021-02-26T00:00:00.000Z,11.57,52.8,26.27,19.57,32.6,8.667,219
2021-02-27T00:00:00.000Z,10.9,181.63,27.77,21.97,38.86,25.63,263
2021-02-28T00:00:00.000Z,2.13,58,11.77,7.47,19.7,10.715,258
2021-03-01T00:00:00.000Z,13.6,79.23,24.93,21.6,28.95,7.143,233
