longitude,latitude,no2,pm10,pm25,pm1,date_only,time
-8.296389,41.449722,32.9,15.0,,,2020-01-01,00:00:00
-8.296389,41.449722,34.1,15.0,,,2020-01-01,01:00:00
-8.296389,41.449722,45.2,15.0,,,2020-01-01,02:00:00
-8.296389,41.449722,44.3,,,,2020-01-01,03:00:00
-8.296389,41.449722,34.1,,,,2020-01-01,04:00:00
-8.296389,41.449722,33.9,15.0,,,2020-01-01,05:00:00
-8.296389,41.449722,32.5,15.0,,,2020-01-01,06:00:00
-8.296389,41.449722,31.6,15.0,,,2020-01-01,07:00:00
-8.296389,41.449722,27.5,15.0,,,2020-01-01,08:00:00
-8.296389,41.449722,23.1,15.0,,,2020-01-01,09:00:00
-8.296389,41.449722,26.0,15.0,,,2020-01-01,10:00:00
-8.296389,41.449722,34.5,15.0,,,2020-01-01,11:00:00
-8.296389,41.449722,49.5,15.0,,,2020-01-01,12:00:00
-8.296389,41.449722,63.9,15.0,,,2020-01-01,13:00:00
-8.296389,41.449722,57.0,15.0,,,2020-01-01,14:00:00
-8.296389,41.449722,40.3,15.0,,,2020-01-01,15:00:00
-8.296389,41.449722,34.2,15.0,,,2020-01-01,16:00:00
-8.296389,41.449722,45.1,15.0,,,2020-01-01,17:00:00
-8.296389,41.449722,54.4,15.0,,,2020-01-01,18:00:00
-8.296389,41.449722,46.0,15.0,,,2020-01-01,19:00:00
-8.296389,41.449722,41.3,15.0,,,2020-01-01,20:00:00
-8.296389,41.449722,39.6,15.0,,,2020-01-01,21:00:00
-8.296389,41.449722,37.1,15.0,,,2020-01-01,22:00:00
-8.296389,41.449722,41.6,15.0,,,2020-01-01,23:00:00
-8.296389,41.449722,32.6,15.0,,,2020-01-02,00:00:00
-8.296389,41.449722,22.9,15.0,,,2020-01-02,01:00:00
-8.296389,41.449722,20.0,15.0,,,2020-01-02,02:00:00
-8.296389,41.449722,16.6,15.0,,,2020-01-02,03:00:00
-8.296389,41.449722,14.3,15.0,,,2020-01-02,04:00:00
-8.296389,41.449722,13.3,15.0,,,2020-01-02,05:00:00
-8.296389,41.449722,12.2,15.0,,,2020-01-02,06:00:00
-8.296389,41.449722,14.9,15.0,,,2020-01-02,07:00:00
-8.296389,41.449722,22.1,15.0,,,2020-01-02,08:00:00
-8.296389,41.449722,33.5,15.0,,,2020-01-02,09:00:00
-8.296389,41.449722,48.0,15.0,,,2020-01-02,10:00:00
-8.296389,41.449722,57.7,15.0,,,2020-01-02,11:00:00
-8.296389,41.449722,69.6,,,,2020-01-02,12:00:00
-8.296389,41.449722,71.0,15.0,,,2020-01-02,13:00:00
-8.296389,41.449722,62.1,15.0,,,2020-01-02,14:00:00
-8.296389,41.449722,45.4,15.0,,,2020-01-02,15:00:00
-8.296389,41.449722,51.3,15.0,,,2020-01-02,16:00:00
-8.296389,41.449722,54.1,15.0,,,2020-01-02,17:00:00
-8.296389,41.449722,62.2,15.0,,,2020-01-02,18:00:00
-8.296389,41.449722,56.7,15.0,,,2020-01-02,19:00:00
-8.296389,41.449722,58.1,15.0,,,2020-01-02,20:00:00
-8.296389,41.449722,56.6,15.0,,,2020-01-02,21:00:00
-8.296389,41.449722,47.7,15.0,,,2020-01-02,22:00:00
-8.296389,41.449722,47.5,15.0,,,2020-01-02,23:00:00
-8.296389,41.449722,40.8,15.0,,,2020-01-03,00:00:00
-8.296389,41.449722,37.9,15.0,,,2020-01-03,01:00:00
-8.296389,41.449722,29.8,15.0,,,2020-01-03,02:00:00
-8.296389,41.449722,27.7,,,,2020-01-03,03:00:00
-8.296389,41.449722,22.8,15.0,,,2020-01-03,04:00:00
-8.296389,41.449722,19.3,15.0,,,2020-01-03,05:00:00
-8.296389,41.449722,21.7,15.0,,,2020-01-03,06:00:00
-8.296389,41.449722,22.9,15.0,,,2020-01-03,07:00:00
-8.296389,41.449722,27.5,15.0,,,2020-01-03,08:00:00
-8.296389,41.449722,44.0,15.0,,,2020-01-03,09:00:00
-8.296389,41.449722,61.6,15.0,,,2020-01-03,10:00:00
-8.296389,41.449722,66.3,,,,2020-01-03,11:00:00
-8.296389,41.449722,69.4,,,,2020-01-03,12:00:00
-8.296389,41.449722,62.3,15.0,,,2020-01-03,13:00:00
-8.296389,41.449722,54.0,15.0,,,2020-01-03,14:00:00
-8.296389,41.449722,60.4,15.0,,,2020-01-03,15:00:00
-8.296389,41.449722,50.6,15.0,,,2020-01-03,16:00:00
-8.296389,41.449722,52.0,15.0,,,2020-01-03,17:00:00
-8.296389,41.449722,67.5,15.0,,,2020-01-03,18:00:00
-8.296389,41.449722,66.3,15.0,,,2020-01-03,19:00:00
-8.296389,41.449722,66.6,15.0,,,2020-01-03,20:00:00
-8.296389,41.449722,63.9,15.0,,,2020-01-03,21:00:00
-8.296389,41.449722,55.9,15.0,,,2020-01-03,22:00:00
-8.296389,41.449722,59.5,15.0,,,2020-01-03,23:00:00
-8.296389,41.449722,53.2,15.0,,,2020-01-04,00:00:00
-8.296389,41.449722,49.0,15.0,,,2020-01-04,01:00:00
-8.296389,41.449722,47.7,15.0,,,2020-01-04,02:00:00
-8.296389,41.449722,35.4,15.0,,,2020-01-04,03:00:00
-8.296389,41.449722,26.7,15.0,,,2020-01-04,04:00:00
-8.296389,41.449722,25.4,15.0,,,2020-01-04,05:00:00
-8.296389,41.449722,27.3,15.0,,,2020-01-04,06:00:00
-8.296389,41.449722,30.1,15.0,,,2020-01-04,07:00:00
-8.296389,41.449722,26.5,15.0,,,2020-01-04,08:00:00
-8.296389,41.449722,31.0,15.0,,,2020-01-04,09:00:00
-8.296389,41.449722,42.5,15.0,,,2020-01-04,10:00:00
-8.296389,41.449722,24.4,15.0,,,2020-01-04,11:00:00
-8.296389,41.449722,24.9,15.0,,,2020-01-04,12:00:00
-8.296389,41.449722,23.7,15.0,,,2020-01-04,13:00:00
-8.296389,41.449722,24.0,15.0,,,2020-01-04,14:00:00
-8.296389,41.449722,17.8,15.0,,,2020-01-04,15:00:00
-8.296389,41.449722,18.2,15.0,,,2020-01-04,16:00:00
-8.296389,41.449722,16.9,15.0,,,2020-01-04,17:00:00
-8.296389,41.449722,20.2,15.0,,,2020-01-04,18:00:00
-8.296389,41.449722,27.2,15.0,,,2020-01-04,19:00:00
-8.296389,41.449722,27.5,15.0,,,2020-01-04,20:00:00
-8.296389,41.449722,23.0,15.0,,,2020-01-04,21:00:00
-8.296389,41.449722,19.4,15.0,,,2020-01-04,22:00:00
-8.296389,41.449722,34.8,15.0,,,2020-01-04,23:00:00
-8.296389,41.449722,41.6,15.0,,,2020-01-05,00:00:00
-8.296389,41.449722,43.1,15.0,,,2020-01-05,01:00:00
-8.296389,41.449722,32.8,15.0,,,2020-01-05,02:00:00
-8.296389,41.449722,34.3,15.0,,,2020-01-05,03:00:00
-8.296389,41.449722,28.5,15.0,,,2020-01-05,04:00:00
-8.296389,41.449722,22.2,15.0,,,2020-01-05,05:00:00
-8.296389,41.449722,22.2,15.0,,,2020-01-05,06:00:00
-8.296389,41.449722,24.8,15.0,,,2020-01-05,07:00:00
-8.296389,41.449722,21.1,15.0,,,2020-01-05,08:00:00
