longitude,latitude,no2,pm10,pm25,pm1,date,time,tempmax,tempmin,temp,feelslike,dew,humidity,severerisk,precip,snow,windspeed,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
-8.296389,41.449722,32.9,15.0,,,2020-01-01,1900-01-01 00:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0
-8.296389,41.449722,34.1,15.0,,,2020-01-01,1900-01-01 01:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0
-8.296389,41.449722,45.2,15.0,,,2020-01-01,1900-01-01 02:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0
-8.296389,41.449722,44.3,,,,2020-01-01,1900-01-01 03:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0
-8.296389,41.449722,34.1,,,,2020-01-01,1900-01-01 04:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0
-8.296389,41.449722,33.9,15.0,,,2020-01-01,1900-01-01 05:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0
-8.296389,41.449722,32.5,15.0,,,2020-01-01,1900-01-01 06:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0
-8.296389,41.449722,31.6,15.0,,,2020-01-01,1900-01-01 07:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0
-8.296389,41.449722,27.5,15.0,,,2020-01-01,1900-01-01 08:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0
-8.296389,41.449722,23.1,15.0,,,2020-01-01,1900-01-01 09:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0
