date,latitude,longitude,parameter,value
2020-10-06T00:00:00.000Z,41.5549,-8.4067,pm10,2.92
2020-10-21T00:00:00.000Z,41.5549,-8.4067,pm10,4.94
2020-11-05T00:00:00.000Z,41.5549,-8.4067,pm10,2.57
2020-11-06T00:00:00.000Z,41.5549,-8.4067,pm10,7.73
2020-11-07T00:00:00.000Z,41.5549,-8.4067,pm10,5.74
2020-11-08T00:00:00.000Z,41.5549,-8.4067,pm10,7.07
2020-11-09T00:00:00.000Z,41.5549,-8.4067,pm10,13.23
2020-11-10T00:00:00.000Z,41.5549,-8.4067,pm10,14.45
2020-11-11T00:00:00.000Z,41.5549,-8.4067,pm10,12.57
2020-11-12T00:00:00.000Z,41.5549,-8.4067,pm10,20.27
2020-11-13T00:00:00.000Z,41.5549,-8.4067,pm10,23.84
2020-11-14T00:00:00.000Z,41.5549,-8.4067,pm10,12.44
2020-11-15T00:00:00.000Z,41.5549,-8.4067,pm10,15.6
2020-11-16T00:00:00.000Z,41.5549,-8.4067,pm10,20.75
2020-11-17T00:00:00.000Z,41.5549,-8.4067,pm10,27.91
2020-11-18T00:00:00.000Z,41.5549,-8.4067,pm10,22.02
2020-11-19T00:00:00.000Z,41.5549,-8.4067,pm10,18.3
2020-11-20T00:00:00.000Z,41.5549,-8.4067,pm10,7.7
2020-11-21T00:00:00.000Z,41.5549,-8.4067,pm10,9.27
2020-11-22T00:00:00.000Z,41.5549,-8.4067,pm10,28.1
2020-11-23T00:00:00.000Z,41.5549,-8.4067,pm10,35.97
2020-11-24T00:00:00.000Z,41.5549,-8.4067,pm10,43.85
2020-11-25T00:00:00.000Z,41.5549,-8.4067,pm10,13.5
2020-11-26T00:00:00.000Z,41.5549,-8.4067,pm10,10.1
2020-11-27T00:00:00.000Z,41.5549,-8.4067,pm10,25.25
2020-11-28T00:00:00.000Z,41.5549,-8.4067,pm10,15.93
2020-11-29T00:00:00.000Z,41.5549,-8.4067,pm10,4.47
2020-11-30T00:00:00.000Z,41.5549,-8.4067,pm10,4.34
2020-12-01T00:00:00.000Z,41.5549,-8.4067,pm10,8.22
2020-12-02T00:00:00.000Z,41.5549,-8.4067,pm10,9.72
2020-12-03T00:00:00.000Z,41.5549,-8.4067,pm10,22.24
2020-12-04T00:00:00.000Z,41.5549,-8.4067,pm10,9.86
2020-12-05T00:00:00.000Z,41.5549,-8.4067,pm10,42.94
2020-12-11T00:00:00.000Z,41.5549,-8.4067,pm10,39.86
2020-12-12T00:00:00.000Z,41.5549,-8.4067,pm10,40.44
2020-12-13T00:00:00.000Z,41.5549,-8.4067,pm10,6.55
2020-12-14T00:00:00.000Z,41.5549,-8.4067,pm10,6.87
2020-12-16T00:00:00.000Z,41.5549,-8.4067,pm10,14.1
2020-12-17T00:00:00.000Z,41.5549,-8.4067,pm10,16.86
2020-12-18T00:00:00.000Z,41.5549,-8.4067,pm10,8.39
2020-12-19T00:00:00.000Z,41.5549,-8.4067,pm10,20.22
2020-12-20T00:00:00.000Z,41.5549,-8.4067,pm10,21.7
2020-12-21T00:00:00.000Z,41.5549,-8.4067,pm10,4.8
2020-12-22T00:00:00.000Z,41.5549,-8.4067,pm10,7.87
2020-12-23T00:00:00.000Z,41.5549,-8.4067,pm10,9.93
2020-12-24T00:00:00.000Z,41.5549,-8.4067,pm10,10.1
2020-12-25T00:00:00.000Z,41.5549,-8.4067,pm10,4.87
2020-12-26T00:00:00.000Z,41.5549,-8.4067,pm10,9.27
2020-12-27T00:00:00.000Z,41.5549,-8.4067,pm10,46.83
2020-12-28T00:00:00.000Z,41.5549,-8.4067,pm10,19.39
2020-12-29T00:00:00.000Z,41.5549,-8.4067,pm10,15.7
2020-12-30T00:00:00.000Z,41.5549,-8.4067,pm10,31.25
2020-12-31T00:00:00.000Z,41.5549,-8.4067,pm10,13.93
2021-01-01T00:00:00.000Z,41.5549,-8.4067,pm10,14.0
2021-01-02T00:00:00.000Z,41.5549,-8.4067,pm10,25.82
2021-01-03T00:00:00.000Z,41.5549,-8.4067,pm10,34.74
2021-01-04T00:00:00.000Z,41.5549,-8.4067,pm10,41.0
2021-01-05T00:00:00.000Z,41.5549,-8.4067,pm10,28.97
2021-01-06T00:00:00.000Z,41.5549,-8.4067,pm10,24.67
2021-01-07T00:00:00.000Z,41.5549,-8.4067,pm10,14.0
2021-01-08T00:00:00.000Z,41.5549,-8.4067,pm10,16.59
2021-01-09T00:00:00.000Z,41.5549,-8.4067,pm10,9.19
2021-01-10T00:00:00.000Z,41.5549,-8.4067,pm10,5.03
2021-01-11T00:00:00.000Z,41.5549,-8.4067,pm10,19.17
2021-01-12T00:00:00.000Z,41.5549,-8.4067,pm10,64.55
2021-01-13T00:00:00.000Z,41.5549,-8.4067,pm10,83.13
2021-01-14T00:00:00.000Z,41.5549,-8.4067,pm10,75.67
2021-01-15T00:00:00.000Z,41.5549,-8.4067,pm10,58.9
2021-01-16T00:00:00.000Z,41.5549,-8.4067,pm10,57.67
2021-01-17T00:00:00.000Z,41.5549,-8.4067,pm10,92.0
2021-01-18T00:00:00.000Z,41.5549,-8.4067,pm10,82.72
2021-01-19T00:00:00.000Z,41.5549,-8.4067,pm10,28.02
2021-01-20T00:00:00.000Z,41.5549,-8.4067,pm10,19.82
2021-01-21T00:00:00.000Z,41.5549,-8.4067,pm10,29.93
2021-01-22T00:00:00.000Z,41.5549,-8.4067,pm10,18.05
2021-01-23T00:00:00.000Z,41.5549,-8.4067,pm10,16.88
2021-01-24T00:00:00.000Z,41.5549,-8.4067,pm10,20.43
2021-01-25T00:00:00.000Z,41.5549,-8.4067,pm10,9.69
2021-01-26T00:00:00.000Z,41.5549,-8.4067,pm10,8.52
2021-01-27T00:00:00.000Z,41.5549,-8.4067,pm10,16.01
2021-01-28T00:00:00.000Z,41.5549,-8.4067,pm10,16.2
2021-01-29T00:00:00.000Z,41.5549,-8.4067,pm10,5.03
2021-01-30T00:00:00.000Z,41.5549,-8.4067,pm10,34.07
2021-01-31T00:00:00.000Z,41.5549,-8.4067,pm10,18.18
2021-02-01T00:00:00.000Z,41.5549,-8.4067,pm10,17.57
2021-02-02T00:00:00.000Z,41.5549,-8.4067,pm10,5.17
2021-02-03T00:00:00.000Z,41.5549,-8.4067,pm10,17.29
2021-02-04T00:00:00.000Z,41.5549,-8.4067,pm10,10.99
2021-02-05T00:00:00.000Z,41.5549,-8.4067,pm10,8.99
2021-02-06T00:00:00.000Z,41.5549,-8.4067,pm10,1.69
2021-02-07T00:00:00.000Z,41.5549,-8.4067,pm10,8.98
2021-02-08T00:00:00.000Z,41.5549,-8.4067,pm10,19.7
2021-02-09T00:00:00.000Z,41.5549,-8.4067,pm10,15.2
2021-02-10T00:00:00.000Z,41.5549,-8.4067,pm10,14.6
2021-02-11T00:00:00.000Z,41.5549,-8.4067,pm10,7.9
2021-02-12T00:00:00.000Z,41.5549,-8.4067,pm10,22.57
2021-02-13T00:00:00.000Z,41.5549,-8.4067,pm10,25.33
2021-02-14T00:00:00.000Z,41.5549,-8.4067,pm10,16.68
2021-02-15T00:00:00.000Z,41.5549,-8.4067,pm10,7.95
2021-02-16T00:00:00.000Z,41.5549,-8.4067,pm10,17.89
2021-02-17T00:00:00.000Z,41.5549,-8.4067,pm10,12.07
2021-02-18T00:00:00.000Z,41.5549,-8.4067,pm10,11.1
2021-02-19T00:00:00.000Z,41.5549,-8.4067,pm10,15.7
2021-02-20T00:00:00.000Z,41.5549,-8.4067,pm10,21.4
2021-02-21T00:00:00.000Z,41.5549,-8.4067,pm10,3.55
2021-02-22T00:00:00.000Z,41.5549,-8.4067,pm10,9.63
2021-02-23T00:00:00.000Z,41.5549,-8.4067,pm10,8.13
2021-02-24T00:00:00.000Z,41.5549,-8.4067,pm10,9.8
2021-02-25T00:00:00.000Z,41.5549,-8.4067,pm10,9.1
2021-02-26T00:00:00.000Z,41.5549,-8.4067,pm10,26.27
2021-02-27T00:00:00.000Z,41.5549,-8.4067,pm10,27.77
2021-02-28T00:00:00.000Z,41.5549,-8.4067,pm10,11.77
2021-03-01T00:00:00.000Z,41.5549,-8.4067,pm10,24.93
2021-03-02T00:00:00.000Z,41.5549,-8.4067,pm10,15.5
2021-03-03T00:00:00.000Z,41.5549,-8.4067,pm10,36.47
2021-03-04T00:00:00.000Z,41.5549,-8.4067,pm10,50.25
2021-03-05T00:00:00.000Z,41.5549,-8.4067,pm10,34.72
2021-03-06T00:00:00.000Z,41.5549,-8.4067,pm10,19.45
2021-03-07T00:00:00.000Z,41.5549,-8.4067,pm10,35.52
2021-03-08T00:00:00.000Z,41.5549,-8.4067,pm10,10.11
2021-03-09T00:00:00.000Z,41.5549,-8.4067,pm10,9.4
2021-03-10T00:00:00.000Z,41.5549,-8.4067,pm10,24.23
2021-03-11T00:00:00.000Z,41.5549,-8.4067,pm10,7.3
2021-03-12T00:00:00.000Z,41.5549,-8.4067,pm10,12.22
2021-03-13T00:00:00.000Z,41.5549,-8.4067,pm10,15.53
2021-03-14T00:00:00.000Z,41.5549,-8.4067,pm10,11.0
2021-03-15T00:00:00.000Z,41.5549,-8.4067,pm10,6.88
2021-03-16T00:00:00.000Z,41.5549,-8.4067,pm10,6.4
2021-03-17T00:00:00.000Z,41.5549,-8.4067,pm10,2.89
2021-03-18T00:00:00.000Z,41.5549,-8.4067,pm10,6.63
2021-03-19T00:00:00.000Z,41.5549,-8.4067,pm10,8.07
2021-03-20T00:00:00.000Z,41.5549,-8.4067,pm10,5.5
2021-03-21T00:00:00.000Z,41.5549,-8.4067,pm10,6.3
2021-03-22T00:00:00.000Z,41.5549,-8.4067,pm10,12.85
2021-03-23T00:00:00.000Z,41.5549,-8.4067,pm10,21.07
2021-04-06T00:00:00.000Z,41.5549,-8.4067,pm10,33.45
2021-04-07T00:00:00.000Z,41.5549,-8.4067,pm10,6.5
2021-04-08T00:00:00.000Z,41.5549,-8.4067,pm10,23.57
2021-04-09T00:00:00.000Z,41.5549,-8.4067,pm10,22.93
2021-04-10T00:00:00.000Z,41.5549,-8.4067,pm10,13.0
2021-04-11T00:00:00.000Z,41.5549,-8.4067,pm10,3.8
