date,tempmax,tempmin,temp,feelslike,dew,humidity,severerisk,precip,snow,windspeed,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,latitude,longitude
2020-01-01,52.6,35.5,42.1,41.0,34.6,79.2,,0.004,0,6.1,1031.6,41.8,3.5,30.0,2.7,2,41.653315,-8.58779
2020-01-02,51.6,38.2,46.1,43.9,42.5,87.4,,0.0,0,10.6,1030.4,63.4,5.5,44.0,3.9,2,41.650791,-8.58779
2020-01-03,57.1,50.7,53.0,53.0,42.6,72.9,,0.07200000000000001,0,8.8,1033.1,74.9,4.3,14.2,1.2,1,41.449721999999994,-8.58779
2020-01-04,58.5,43.5,50.9,50.2,40.1,71.6,,0.002,0,6.4,1034.4,40.7,4.7,31.5,2.7,2,41.653315,-8.4067
2020-01-05,55.0,39.6,45.3,44.2,40.4,83.8,,0.0,0,7.2,1030.8,26.7,6.1,28.8,2.6,2,41.653315,-8.58779
2020-01-06,53.2,36.7,43.7,41.8,40.1,87.5,,0.002,0,8.2,1030.6,44.6,5.8,48.1,4.1,2,41.653315,-8.4067
2020-01-07,53.2,36.5,43.3,41.3,36.2,78.8,,0.002,0,10.1,1032.9,64.2,5.6,30.4,2.7,2,41.449721999999994,-8.4067
2020-01-08,54.8,40.7,48.1,46.9,42.8,82.4,,0.012,0,7.1,1030.8,63.8,5.3,29.1,2.5,2,41.650791,-8.58779
2020-01-09,57.5,46.7,52.7,52.6,50.0,90.9,,0.075,0,11.8,1028.6,74.6,3.9,28.1,2.4,1,41.5549,-8.43569
2020-01-10,56.0,39.4,46.6,46.3,41.4,83.2,,0.0,0,10.0,1032.4,36.6,6.7,108.8,9.3,5,41.650791,-8.4067
2020-01-11,57.5,39.9,45.8,44.3,39.3,79.1,,0.0,0,6.6,1032.6,22.7,6.5,113.4,9.7,5,41.449721999999994,-8.4067
2020-01-12,55.0,36.4,43.7,42.3,39.5,86.0,,0.002,0,5.2,1031.8,45.8,5.7,102.0,8.8,4,41.650791,-8.58779
2020-01-13,53.7,38.1,46.7,44.7,41.4,82.3,,0.0,0,20.0,1024.9,50.6,6.0,85.9,7.5,4,41.449721999999994,-8.58779
2020-01-14,59.3,53.4,56.2,56.2,49.4,78.0,,0.0,0,15.8,1017.3,60.5,6.5,47.9,4.1,2,41.5549,-8.58779
2020-01-15,60.2,51.9,57.2,57.2,54.3,90.4,,1.416,0,15.0,1018.0,51.4,5.9,24.6,2.0,1,41.653315,-8.43569
2020-01-16,60.9,54.2,58.4,58.4,53.8,84.7,,0.442,0,23.1,1020.1,59.8,6.0,30.8,2.7,1,41.650791,-8.296389
2020-01-17,56.7,48.3,52.9,52.8,46.3,78.6,,0.222,0,7.2,1030.1,52.3,6.7,99.8,8.5,5,41.653315,-8.296389
2020-01-18,58.8,49.3,54.4,53.9,51.7,90.9,,1.038,0,15.6,1024.6,60.2,5.1,58.0,5.1,3,41.650791,-8.4067
2020-01-19,59.0,45.1,52.0,50.5,39.8,64.8,,0.0,0,14.6,1029.1,15.8,7.1,124.1,10.6,5,41.653315,-8.43569
2020-01-20,54.4,38.7,46.5,42.8,27.8,49.4,,0.0,0,20.4,1028.6,13.6,7.2,126.0,10.9,5,41.653315,-8.58779
2020-01-21,58.5,42.6,50.2,47.7,32.8,51.5,,0.0,0,16.7,1022.6,42.5,7.7,122.7,10.5,5,41.650791,-8.43569
2020-01-22,60.5,47.7,53.0,52.5,40.1,61.9,,0.0,0,15.8,1018.5,61.6,8.2,40.9,3.4,2,41.653315,-8.43569
