date,longitude,latitude,no2,pm10,pm25,pm1,tempmax,tempmin,temp,feelslike,dew,humidity,severerisk,precip,snow,windspeed,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
2020-01-25 00:00:00+00:00,-8.296389,41.449722,,9.0,,,56.9,42.6,48.6,47.3,43.4,83.0,,0.0,0,8.9,1017.9,40.1,6.5,53.5,4.4,3
2020-03-20 00:00:00+00:00,-8.296389,41.449722,27.8,32.0,,,58.7,53.4,55.2,55.2,52.1,89.3,,0.36,0,4.3,1013.1,69.6,4.5,48.8,4.2,2
2020-03-22 00:00:00+00:00,-8.296389,41.449722,23.2,24.0,,,62.9,50.0,56.2,56.2,50.3,81.9,,0.021,0,11.7,1013.0,30.9,5.9,180.2,15.7,7
2020-04-08 00:00:00+00:00,-8.296389,41.449722,23.3,12.0,,,73.1,57.4,64.2,64.2,56.5,77.3,,0.0,0,8.2,1021.2,71.1,6.6,168.6,14.6,6
2020-04-14 00:00:00+00:00,-8.296389,41.449722,26.0,20.0,,,72.6,49.4,60.7,60.5,52.8,76.3,,0.031,0,8.2,1008.9,44.1,7.2,235.2,20.3,9
2020-04-21 00:00:00+00:00,-8.296389,41.449722,7.7,15.0,,,67.4,52.2,58.8,58.8,53.3,82.2,,0.049,0,18.6,1011.9,52.6,6.0,113.5,9.7,6
2020-05-08 00:00:00+00:00,-8.296389,41.449722,16.6,18.0,,,67.2,60.1,63.1,63.1,57.8,82.9,,0.0,0,7.9,1013.7,71.3,6.3,136.8,11.6,5
2020-08-06 00:00:00+00:00,-8.296389,41.449722,47.6,28.0,,,77.4,59.9,68.4,68.4,59.9,75.9,,0.0,0,9.8,1012.2,11.4,6.5,281.2,24.2,9
2020-08-11 00:00:00+00:00,-8.296389,41.449722,26.3,28.0,,,73.1,62.7,67.0,67.0,62.8,86.9,,0.0,0,8.2,1011.3,67.9,5.6,220.5,19.2,7
2020-09-10 00:00:00+00:00,-8.296389,41.449722,67.1,17.0,,,78.7,57.1,69.1,69.1,53.5,58.8,,0.0,0,8.6,1018.1,29.5,6.8,221.9,19.2,7
