longitude,latitude,no2,pm10,pm25,pm1,date,time,tempmax,tempmin,temp,feelslike,dew,humidity,severerisk,precip,snow,windspeed,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,AQI,datetime
-8.296389,41.449721999999994,32.9,15.0,6.6235150245031775,11.221648372211959,2020-01-01,00:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,33.0,2020-01-01 00:00:00
-8.296389,41.449721999999994,34.1,15.0,5.698827288333604,14.013189793665006,2020-01-01,01:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,34.0,2020-01-01 01:00:00
-8.296389,41.449721999999994,45.2,15.0,-2.8545342712352806,39.834947942105444,2020-01-01,02:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,45.0,2020-01-01 02:00:00
-8.296389,41.449721999999994,44.3,50.22821372071828,8.132993392277967,6.407755394540828,2020-01-01,03:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,44.0,2020-01-01 03:00:00
-8.296389,41.449721999999994,34.1,23.55803179200965,8.1433554783668,6.376493583954456,2020-01-01,04:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,34.0,2020-01-01 04:00:00
-8.296389,41.449721999999994,33.9,15.0,5.852941911028466,13.547932890089456,2020-01-01,05:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,34.0,2020-01-01 05:00:00
-8.296389,41.449721999999994,32.5,15.0,6.9317442698930165,10.291134565060943,2020-01-01,06:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,32.0,2020-01-01 06:00:00
-8.296389,41.449721999999994,31.6,15.0,7.6252600720202395,8.19747849897118,2020-01-01,07:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,32.0,2020-01-01 07:00:00
-8.296389,41.449721999999994,27.5,15.0,10.784609837266345,-1.340288024326675,2020-01-01,08:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,28.0,2020-01-01 08:00:00
-8.296389,41.449721999999994,23.1,15.0,14.175131536554915,-11.575939902987734,2020-01-01,09:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,23.0,2020-01-01 09:00:00
-8.296389,41.449721999999994,26.0,15.0,11.940469507478355,-4.8297148011429485,2020-01-01,10:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,26.0,2020-01-01 10:00:00
-8.296389,41.449721999999994,34.5,15.0,5.390598042943708,14.943703600815994,2020-01-01,11:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,34.0,2020-01-01 11:00:00
-8.296389,41.449721999999994,49.5,15.0,-6.167998659176334,49.83797136897877,2020-01-01,12:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,50.0,2020-01-01 12:00:00
-8.296389,41.449721999999994,63.9,15.0,-17.26425149321156,83.33646842641507,2020-01-01,13:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,82.0,2020-01-01 13:00:00
-8.296389,41.449721999999994,57.0,15.0,-11.947297010236326,67.28510525306017,2020-01-01,14:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,78.0,2020-01-01 14:00:00
-8.296389,41.449721999999994,40.3,15.0,0.921273984790588,28.43615380450558,2020-01-01,15:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,40.0,2020-01-01 15:00:00
-8.296389,41.449721999999994,34.2,15.0,5.621769976986059,14.245818245452725,2020-01-01,16:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,34.0,2020-01-01 16:00:00
-8.296389,41.449721999999994,45.1,15.0,-2.7774769598877924,39.6023194903177,2020-01-01,17:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,45.0,2020-01-01 17:00:00
-8.296389,41.449721999999994,54.4,15.0,-9.943806915202202,61.23676550657865,2020-01-01,18:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,77.0,2020-01-01 18:00:00
-8.296389,41.449721999999994,46.0,15.0,-3.4709927620150154,41.69597555640746,2020-01-01,19:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,46.0,2020-01-01 19:00:00
-8.296389,41.449721999999994,41.3,15.0,0.15070087131593368,30.762438322383105,2020-01-01,20:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,41.0,2020-01-01 20:00:00
-8.296389,41.449721999999994,39.6,15.0,1.460675164222863,26.807754641991338,2020-01-01,21:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,40.0,2020-01-01 21:00:00
-8.296389,41.449721999999994,37.1,15.0,3.387107947909527,20.992043347297525,2020-01-01,22:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,37.0,2020-01-01 22:00:00
-8.296389,41.449721999999994,41.6,15.0,-0.08047106272641713,31.460323677746402,2020-01-01,23:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,42.0,2020-01-01 23:00:00
-8.296389,41.449721999999994,32.6,15.0,6.854686958545614,10.523763016848733,2020-01-02,00:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,33.0,2020-01-02 00:00:00
-8.296389,41.449721999999994,22.9,15.0,14.329246159249891,-12.041196806563228,2020-01-02,01:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,23.0,2020-01-02 01:00:00
-8.296389,41.449721999999994,20.0,15.0,16.563908188326423,-18.787421908408035,2020-01-02,02:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,20.0,2020-01-02 02:00:00
-8.296389,41.449721999999994,16.6,15.0,19.18385677414028,-26.696789269191605,2020-01-02,03:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,17.0,2020-01-02 03:00:00
-8.296389,41.449721999999994,14.3,15.0,20.956174935132026,-32.047243660309896,2020-01-02,04:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,14.0,2020-01-02 04:00:00
-8.296389,41.449721999999994,13.3,15.0,21.72674804860671,-34.373528178187414,2020-01-02,05:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,13.0,2020-01-02 05:00:00
-8.296389,41.449721999999994,12.2,15.0,22.574378473428823,-36.9324411478527,2020-01-02,06:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,12.0,2020-01-02 06:00:00
-8.296389,41.449721999999994,14.9,15.0,20.49383106704724,-30.651472949583386,2020-01-02,07:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,15.0,2020-01-02 07:00:00
-8.296389,41.449721999999994,22.1,15.0,14.945704650029626,-13.902224420865245,2020-01-02,08:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,22.0,2020-01-02 08:00:00
-8.296389,41.449721999999994,33.5,15.0,6.161171156418362,12.617419082938468,2020-01-02,09:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,34.0,2020-01-02 09:00:00
-8.296389,41.449721999999994,48.0,15.0,-5.012138988964352,46.34854459216248,2020-01-02,10:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,48.0,2020-01-02 10:00:00
-8.296389,41.449721999999994,57.7,15.0,-12.486698189668687,68.9135044155744,2020-01-02,11:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,79.0,2020-01-02 11:00:00
-8.296389,41.449721999999994,69.6,116.38072379878963,8.107291355214272,6.485296944328553,2020-01-02,12:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,85.0,2020-01-02 12:00:00
-8.296389,41.449721999999994,71.0,15.0,-22.7353205988818,99.8530885033454,2020-01-02,13:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,86.0,2020-01-02 13:00:00
-8.296389,41.449721999999994,62.1,15.0,-15.8772198889572,79.14915629423551,2020-01-02,14:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,81.0,2020-01-02 14:00:00
-8.296389,41.449721999999994,45.4,15.0,-3.0086488939301717,40.30020484568095,2020-01-02,15:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,45.0,2020-01-02 15:00:00
-8.296389,41.449721999999994,51.3,15.0,-7.55503026343078,54.0252835011583,2020-01-02,16:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,76.0,2020-01-02 16:00:00
-8.296389,41.449721999999994,54.1,15.0,-9.71263498115988,60.53888015121535,2020-01-02,17:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,77.0,2020-01-02 17:00:00
-8.296389,41.449721999999994,62.2,15.0,-15.95427720030466,79.38178474602326,2020-01-02,18:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,81.0,2020-01-02 18:00:00
-8.296389,41.449721999999994,56.7,15.0,-11.716125076194004,66.58721989769687,2020-01-02,19:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,78.0,2020-01-02 19:00:00
-8.296389,41.449721999999994,58.1,15.0,-12.794927435058554,69.84401822272541,2020-01-02,20:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,79.0,2020-01-02 20:00:00
-8.296389,41.449721999999994,56.6,15.0,-11.639067764846516,66.35459144590915,2020-01-02,21:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,78.0,2020-01-02 21:00:00
-8.296389,41.449721999999994,47.7,15.0,-4.780967054921945,45.65065923679924,2020-01-02,22:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,48.0,2020-01-02 22:00:00
-8.296389,41.449721999999994,47.5,15.0,-4.626852432227025,45.185402333223735,2020-01-02,23:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,48.0,2020-01-02 23:00:00
-8.296389,41.449721999999994,40.8,15.0,0.5359874280532892,29.599296063444356,2020-01-03,00:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,41.0,2020-01-03 00:00:00
-8.296389,41.449721999999994,37.9,15.0,2.7706494571297924,22.853070961599542,2020-01-03,01:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,38.0,2020-01-03 01:00:00
-8.296389,41.449721999999994,29.8,15.0,9.012291676274685,4.010166366791665,2020-01-03,02:00:00,55.4,50.2,52.8,52.8,48.2,84.5,10.0,0.32,0.0,16.9,1018.9,93.9,5.3,51.9,4.5,3.0,30.0,2020-01-03 02:00:00
