date,min,max,median,q1,q3,stdev,count
2021-09-07T00:00:00.000Z,0.8,9.48,3.35,1.98,4.78,1.831,299
2021-09-08T00:00:00.000Z,0.8,14.23,3.65,2.62,5.56,2.59,621
2021-09-09T00:00:00.000Z,0.4,25.3,5.43,4.68,6.78,2.989,574
2021-09-10T00:00:00.000Z,0.5,27.4,3.13,1.52,4.8,3.32,682
2021-09-11T00:00:00.000Z,0.4,16.6,3.15,1.55,4.15,1.972,598
2021-09-12T00:00:00.000Z,0.9,12.68,3.22,2.42,4.03,1.351,551
2021-09-13T00:00:00.000Z,0.88,32,4.2,3.03,5.34,3.805,488
2021-09-15T00:00:00.000Z,0.5,47.85,2.29,1.77,3.65,5.142,339
2021-09-16T00:00:00.000Z,0.8,51.63,3.72,2.92,5.13,3.781,423
2021-09-17T00:00:00.000Z,1.08,30.23,9.65,7.4,15.85,5.573,290
2021-09-18T00:00:00.000Z,0.3,38.92,2.38,1.5,3.03,2.29,607
2021-09-19T00:00:00.000Z,0.3,22.48,1.83,1.35,2.52,2.122,668
2021-09-20T00:00:00.000Z,0.2,19.17,1,0.68,1.42,1.857,667
2021-09-21T00:00:00.000Z,0.1,4.09,0.85,0.56,1.25,0.577,671
2021-09-22T00:00:00.000Z,0.2,30.55,1.25,0.85,2.02,2.387,658
2021-09-23T00:00:00.000Z,0.4,41.67,2.38,1.6,3.85,3.763,687
2021-09-24T00:00:00.000Z,0.45,15.65,2.72,1.75,5.43,2.951,683
2021-09-25T00:00:00.000Z,0.85,31.4,4.7,3.22,9.23,4.149,689
2021-09-26T00:00:00.000Z,0.52,40.33,2.75,1.58,6.72,4.156,667
2021-09-27T00:00:00.000Z,0.82,16.67,4.93,3.13,7.57,2.829,570
2021-09-28T00:00:00.000Z,0.4,59.63,2.8,1.4,6.72,5.143,669
2021-09-29T00:00:00.000Z,0.15,64.97,1.85,1.02,3.13,4.797,659
2021-09-30T00:00:00.000Z,0.28,62.9,2.27,1.55,5.12,4.247,652
2021-10-01T00:00:00.000Z,1.14,44.3,8.88,5.19,12.49,5.95,645
2021-10-02T00:00:00.000Z,1.12,40.35,7.32,4.4,12.03,5.992,623
2021-10-03T00:00:00.000Z,0.2,168.85,1.92,1.27,3.12,8.813,669
2021-10-04T00:00:00.000Z,1.52,13.57,3.88,3.05,5.3,2.035,651
2021-10-05T00:00:00.000Z,0.22,54.5,3.25,0.93,6.38,5.919,678
2021-10-06T00:00:00.000Z,0.4,46.5,6.05,2.35,11.54,8.239,677
2021-10-07T00:00:00.000Z,0.4,62.75,6.47,3.69,9.44,7.056,657
2021-10-08T00:00:00.000Z,1.58,34.67,7.22,4.59,15.68,7.582,660
2021-10-09T00:00:00.000Z,8.13,156.8,25.54,19.35,36.04,13.28,658
2021-10-10T00:00:00.000Z,0.56,27.85,3.3,2,4.72,3.486,654
2021-10-11T00:00:00.000Z,0.93,15.7,3.16,2.52,3.99,2.127,676
2021-10-12T00:00:00.000Z,1.23,348.02,3.68,2.63,8.52,26.236,662
2021-10-13T00:00:00.000Z,0.4,25.15,3.51,2.06,6.15,3.039,668
2021-10-14T00:00:00.000Z,1.05,103.95,8.23,3.82,15.65,8.488,681
2021-10-15T00:00:00.000Z,5.32,80.88,17.42,14.1,27.77,11.428,670
2021-10-16T00:00:00.000Z,12.82,111.18,31.05,23.2,63,25.201,683
2021-10-17T00:00:00.000Z,1.42,65.22,11.2,6.57,17.2,6.934,611
2021-10-18T00:00:00.000Z,2.7,97.32,11.41,7.75,25.62,12.283,600
2021-10-19T00:00:00.000Z,2.88,101.97,10.34,6.93,14.38,8.86,552
2021-10-20T00:00:00.000Z,1.14,28.73,10.34,5.28,12.45,4.273,450
2021-10-21T00:00:00.000Z,1,10.45,4.7,3.92,5.57,1.6,191
2021-10-22T00:00:00.000Z,0.4,52.88,2.89,2.04,5.13,5.527,250
2021-10-23T00:00:00.000Z,1,39.38,3.83,2.4,19.13,9.992,689
2021-10-24T00:00:00.000Z,2.33,45.05,10.57,6.03,19.47,8.748,685
2021-10-25T00:00:00.000Z,2.1,26.95,6.75,5.2,8.9,3.153,655
2021-10-26T00:00:00.000Z,1.27,26.38,5.32,3.63,9.73,5.396,678
2021-10-27T00:00:00.000Z,2.52,59.2,7.54,5.8,22.4,9.882,646
2021-10-28T00:00:00.000Z,2.97,155.5,13.32,10.35,17.35,14.083,635
2021-10-29T00:00:00.000Z,0.2,58.4,5.57,3.6,8.63,4.967,663
2021-10-30T00:00:00.000Z,0.7,29.1,4.3,2.54,8.49,4.482,693
2021-10-31T00:00:00.000Z,0.28,17.1,5.05,2.88,8.25,3.658,663
2021-11-01T00:00:00.000Z,0.4,72.88,2.08,1.5,4.34,4.416,608
2021-11-02T00:00:00.000Z,0.95,27.6,4.8,3.22,6.82,4.372,579
2021-11-03T00:00:00.000Z,1.6,58.92,8.69,5.79,13.17,7.372,632
2021-11-04T00:00:00.000Z,0.95,31.7,5.49,3.2,8.55,4.648,674
2021-11-05T00:00:00.000Z,1,9.48,3.74,2.6,5.03,1.75,292
2022-02-15T00:00:00.000Z,3.9,43.7,10.05,5.65,31.02,13.069,91
2022-02-16T00:00:00.000Z,7.25,69.5,29.27,23.05,36.4,12.416,198
2022-02-17T00:00:00.000Z,3.03,39.1,10.9,8.75,14.7,5.88,258
2022-02-18T00:00:00.000Z,5.07,58.88,33.65,23.52,38.83,12.5,232
2022-02-19T00:00:00.000Z,0.98,31.88,3.03,2.22,6.55,4.268,633
2022-02-20T00:00:00.000Z,0.2,249.32,11.49,3.76,17.63,15.131,680
2022-02-21T00:00:00.000Z,0.38,108,8.11,5.56,11.53,7.892,644
2022-02-22T00:00:00.000Z,0.75,62.22,4.43,3.13,13.32,13.056,675
2022-02-23T00:00:00.000Z,1.05,109.68,10.19,5.4,22.1,13.367,668
2022-02-24T00:00:00.000Z,2,36.03,10.54,4.48,19.62,8.749,684
2022-02-25T00:00:00.000Z,0.52,29.67,3.72,2.67,5.25,4.528,640
2022-02-26T00:00:00.000Z,1.95,96.9,11,5.82,26.56,18.239,628
2022-02-27T00:00:00.000Z,2.47,73.38,22.1,7.65,30.38,13.142,687
2022-02-28T00:00:00.000Z,4.72,111.5,14.98,10.22,24.87,18.405,653
2022-03-01T00:00:00.000Z,1.98,64.97,19.77,12.35,38.58,15.499,678
2022-03-02T00:00:00.000Z,3.95,52.88,13.57,10.23,18.13,7.697,653
