date,min,max,median,q1,q3,stdev,count
2022-05-28T00:00:00.000Z,0,10.5,1,0.2,4.1,2.316,290
2022-05-29T00:00:00.000Z,0.9,23.3,5.55,3.6,7.7,4.725,634
2022-05-30T00:00:00.000Z,0,28.6,6.7,4.4,10.1,5.541,618
2022-05-31T00:00:00.000Z,0,44.4,5.7,4.2,9.2,6.531,608
2022-06-01T00:00:00.000Z,0,20.1,0.8,0.2,7.4,5.654,388
2022-06-02T00:00:00.000Z,0,5.2,1.6,0.7,2.6,1.218,288
2022-06-03T00:00:00.000Z,0,12.5,0.2,0.1,0.8,1.457,207
2022-06-04T00:00:00.000Z,0,33,1.7,0.5,4.3,4.699,431
2022-06-05T00:00:00.000Z,0,11.4,2.75,0.7,4.1,2.005,324
2022-06-06T00:00:00.000Z,0,10.4,0.6,0.2,1.9,2.134,485
2022-06-07T00:00:00.000Z,0,14.7,0.4,0.1,1.8,1.877,312
2022-06-08T00:00:00.000Z,0,19.6,0.3,0.1,1.6,2.87,103
2022-06-09T00:00:00.000Z,0,18.8,0.4,0.1,0.8,1.73,359
2022-06-10T00:00:00.000Z,0,6.6,1.5,0.4,2.9,1.551,545
2022-06-11T00:00:00.000Z,0,14.8,1.8,0.6,2.8,1.595,532
2022-06-12T00:00:00.000Z,0.7,23.5,7.6,2.8,10.1,4.393,625
2022-06-13T00:00:00.000Z,1.8,21.6,5.09,3.6,8.75,4.776,637
2022-06-14T00:00:00.000Z,3.6,20.4,11.5,6.8,16,4.789,621
2022-06-15T00:00:00.000Z,3.2,28.8,15.9,8.05,19.3,6.217,628
2022-06-16T00:00:00.000Z,0.7,13.7,4.59,3.8,6,2.111,617
2022-06-17T00:00:00.000Z,1.2,11.5,4.84,3.8,6.1,1.9,548
2022-06-18T00:00:00.000Z,0,7.9,2.54,0.6,6,2.627,446
2022-06-19T00:00:00.000Z,0,4.8,1.4,0.6,2.5,1.189,227
2022-06-20T00:00:00.000Z,0,6.3,0.1,0,0.4,1.166,34
2022-06-21T00:00:00.000Z,0,20.2,3.2,1.1,5,3.333,629
2022-06-22T00:00:00.000Z,0,29.9,2.1,0.5,3.85,3.443,412
2022-06-23T00:00:00.000Z,0,19.6,3.6,2.4,5.3,3.74,575
2022-06-24T00:00:00.000Z,0,25.2,10.6,7.6,17.1,5.939,268
2022-06-25T00:00:00.000Z,0,6.2,0.1,0,0.4,0.778,155
2022-06-26T00:00:00.000Z,0,4.9,0.1,0,0.35,1.039,37
2022-06-27T00:00:00.000Z,0,4.8,0.1,0,0.2,0.744,66
2022-06-28T00:00:00.000Z,0,12.3,0.1,0,0.2,1.375,154
2022-06-29T00:00:00.000Z,0,2.7,0.1,0,0.2,0.343,85
2022-06-30T00:00:00.000Z,0,3.4,0.1,0,0.3,0.944,26
2022-07-01T00:00:00.000Z,0,6.3,0.1,0,0.2,0.661,159
2022-07-02T00:00:00.000Z,0,22.5,3.5,2.3,5.8,2.949,587
2022-07-03T00:00:00.000Z,5.1,23.7,11.5,9.2,15.5,4.005,638
2022-07-04T00:00:00.000Z,2.6,23.9,8.8,4.8,16.4,5.79,617
2022-07-05T00:00:00.000Z,0,25.9,8.1,3.8,15.3,5.745,587
2022-07-06T00:00:00.000Z,0.2,13.6,3,2.3,4.6,2.081,621
2022-07-07T00:00:00.000Z,0,14.2,0.55,0.1,3.3,3.474,164
2022-07-08T00:00:00.000Z,0,10.4,3.55,2,4.8,1.903,266
2022-07-09T00:00:00.000Z,0,42,3.9,1.9,5.6,7.514,543
2022-07-10T00:00:00.000Z,2,57.5,19,5.7,23.4,9.93,599
2022-07-11T00:00:00.000Z,6.3,37.7,14.3,9.3,18.6,5.07,615
2022-07-12T00:00:00.000Z,6,42.8,14.8,11.3,18.5,4.819,617
2022-07-13T00:00:00.000Z,8.3,180.2,31.6,24.1,57.4,39.813,644
2022-07-14T00:00:00.000Z,16.5,124.3,33.5,29.15,38.95,21.025,576
2022-07-15T00:00:00.000Z,7.3,32.9,20.6,11.5,28.6,8.343,621
2022-07-16T00:00:00.000Z,4.7,24.7,17.1,11.65,20.35,5.521,625
2022-07-17T00:00:00.000Z,3.8,23.2,16.5,8.19,19,6.113,637
2022-07-18T00:00:00.000Z,0,20.7,5.9,0.3,18,7.818,455
2022-07-19T00:00:00.000Z,0,16.3,0.55,0.2,1.2,1.468,422
2022-07-20T00:00:00.000Z,0,15.9,2.5,1,3.9,2.305,577
2022-07-21T00:00:00.000Z,6.2,23.9,15.5,11,18.3,3.953,663
2022-07-22T00:00:00.000Z,0,20.9,5.65,0.7,12.75,6.399,556
2022-07-23T00:00:00.000Z,0,108.7,3.6,2.5,5.2,14.564,592
2022-07-24T00:00:00.000Z,0,67.9,9.5,1.2,18.2,11.332,519
2022-07-25T00:00:00.000Z,0,25.2,0.8,0.4,1.3,2.991,449
2022-07-26T00:00:00.000Z,0,16.1,0.8,0.2,1.75,2.564,268
2022-07-27T00:00:00.000Z,0,31.5,2.8,0.9,5.9,4.632,357
2022-07-28T00:00:00.000Z,0,14,0.4,0.1,1.3,2.13,222
2022-07-29T00:00:00.000Z,0,9.8,0.5,0.1,1.6,1.656,326
2022-07-30T00:00:00.000Z,0,37.1,5.9,0.4,19.6,10.49,422
2022-07-31T00:00:00.000Z,0,29.3,8,5.8,16.7,6.508,629
2022-08-01T00:00:00.000Z,4.8,27.1,13,7.4,17.5,5.333,579
2022-08-02T00:00:00.000Z,4.5,29.4,10.5,7.7,15.2,4.088,615
2022-08-03T00:00:00.000Z,1.5,25.6,7.4,4.6,13.5,6.491,626
2022-08-04T00:00:00.000Z,0.3,28.6,7.1,2.9,10.3,6.537,640
2022-08-05T00:00:00.000Z,1.1,22.6,5.3,4.1,6.4,2.373,614
2022-08-06T00:00:00.000Z,4.1,22.5,8.8,7,13.7,4.1,650
2022-08-07T00:00:00.000Z,2.5,26.5,7.7,4.6,9.9,4.769,632
2022-08-08T00:00:00.000Z,3,18.1,6.6,5.6,8.8,3.302,638
