date,min,max,median,q1,q3,stdev,count
2022-04-06T00:00:00.000Z,0,45.8,13.6,4.05,25.3,12.142,244
2022-04-07T00:00:00.000Z,0,49.5,6.7,0.5,16,8.847,474
2022-04-08T00:00:00.000Z,0,50,1.4,0.3,17.45,14.16,436
2022-04-09T00:00:00.000Z,0,156.2,7,4.09,17.35,14.48,553
2022-04-10T00:00:00.000Z,0,24.5,3.7,2.04,5.09,2.853,552
2022-04-11T00:00:00.000Z,0,10.8,0.9,0.2,1.7,1.25,432
2022-04-12T00:00:00.000Z,0,28.6,1.5,0.6,3.3,3.986,405
2022-04-13T00:00:00.000Z,0,31.6,1.8,0.4,4.5,6.728,439
2022-04-14T00:00:00.000Z,0,29.6,5.3,3.1,9.75,5.41,604
2022-04-15T00:00:00.000Z,2.8,45.4,13.9,8.3,22.75,9.316,613
2022-04-16T00:00:00.000Z,10.3,57.1,24.9,19.14,29.8,7.355,608
2022-04-17T00:00:00.000Z,3.2,42.8,24.35,14.7,31,11.156,610
2022-04-18T00:00:00.000Z,0,43,4.4,0.6,7.1,4.875,519
2022-04-19T00:00:00.000Z,0,31.9,0.1,0,0.4,4.611,253
2022-04-20T00:00:00.000Z,0,17.3,0.4,0.1,1.3,1.452,282
2022-04-21T00:00:00.000Z,0,34.7,3.3,1.4,7.5,6.271,555
2022-04-22T00:00:00.000Z,0,39.9,4.05,0.7,13.9,8.927,454
2022-04-23T00:00:00.000Z,0,167.2,10.4,5.3,22.2,15.393,485
2022-04-24T00:00:00.000Z,0.5,37.9,9.1,4.45,21.8,10.31,593
2022-04-25T00:00:00.000Z,0,217.9,11.25,5.05,19,20.095,592
2022-04-26T00:00:00.000Z,0,111.2,9.19,6.3,14,12,593
2022-04-27T00:00:00.000Z,0,45.9,8.4,3.7,13.9,7.505,528
2022-04-28T00:00:00.000Z,0,33.7,3.6,0.8,8.4,6.697,567
2022-04-29T00:00:00.000Z,0,33.4,2.8,1.2,4.59,4.3,564
2022-04-30T00:00:00.000Z,1.3,48.3,11.6,7.6,20.95,8.714,596
2022-05-01T00:00:00.000Z,11.5,41,20.6,18.8,24.2,5.913,595
2022-05-02T00:00:00.000Z,3.6,29.1,12.3,6.7,21,7.387,596
2022-05-03T00:00:00.000Z,2.1,25.3,5.25,4,7,2.812,570
2022-05-04T00:00:00.000Z,3.7,45,8.4,6.9,9.8,4.499,610
2022-05-05T00:00:00.000Z,6.3,47.9,20.9,17.05,26.6,7.568,621
2022-05-06T00:00:00.000Z,5.7,45.2,20.2,15.65,25.7,8.558,597
2022-05-07T00:00:00.000Z,0,44.1,7.2,5,17.85,12.817,576
2022-05-08T00:00:00.000Z,3.8,30.2,9.1,7.2,12.9,4.411,600
2022-05-09T00:00:00.000Z,5.2,42.6,16.75,12.3,20.3,6.026,610
2022-05-10T00:00:00.000Z,0,39.6,21.3,16.4,25.6,8.08,590
2022-05-11T00:00:00.000Z,0.4,34.1,13.1,3.6,26.5,11.084,595
2022-05-12T00:00:00.000Z,0.5,26.4,12.25,6.2,17.8,6.159,600
2022-05-13T00:00:00.000Z,0,31.1,4.7,1.8,8.6,6.229,578
2022-05-14T00:00:00.000Z,0.2,50.7,5.7,3,15.9,8.247,601
2022-05-15T00:00:00.000Z,0,26.7,2.04,0.6,8.15,5.412,568
2022-05-16T00:00:00.000Z,0,27,1.9,0.5,3.7,3.41,389
2022-05-17T00:00:00.000Z,0,30.2,3.1,1.8,5,5.812,554
2022-05-18T00:00:00.000Z,0,41.4,2,0.5,5.85,5.176,433
2022-05-19T00:00:00.000Z,0,42.9,3.9,2.6,5.6,4.926,577
2022-05-20T00:00:00.000Z,2.4,28.7,6.4,4.3,10.5,5.608,579
2022-05-21T00:00:00.000Z,5.3,54,17.14,8,24.8,9.452,594
2022-05-22T00:00:00.000Z,0,19.3,4.7,2.1,6.7,3.486,591
2022-05-23T00:00:00.000Z,0,18.7,0.9,0.2,2.8,2.235,403
2022-05-24T00:00:00.000Z,0,19.5,0.1,0,0.2,2.643,174
2022-05-25T00:00:00.000Z,0,22.8,0.3,0.1,1,2.996,401
2022-05-26T00:00:00.000Z,0,35.1,1.6,0.4,5.05,6.582,421
2022-05-27T00:00:00.000Z,0,16.7,1.55,0.3,4.3,3.456,66
2022-05-28T00:00:00.000Z,0,17.6,1.9,0.9,4.4,3.601,442
2022-05-29T00:00:00.000Z,3.4,39.3,10.35,6.7,17.2,7.587,654
2022-05-30T00:00:00.000Z,1.3,45.8,14.5,8.5,19.89,8.173,642
2022-05-31T00:00:00.000Z,0.2,76.2,10.85,7.25,18.5,9.63,648
2022-06-01T00:00:00.000Z,0,30.5,1.6,0.4,12.1,8.503,585
2022-06-02T00:00:00.000Z,0,10.7,4.4,2.75,5.7,2.243,332
2022-06-03T00:00:00.000Z,0,21,0.9,0.4,2.29,2.187,411
2022-06-04T00:00:00.000Z,0,49.1,3.6,1.1,6,6.954,565
2022-06-05T00:00:00.000Z,0,20.5,4.7,0.8,6.95,3.772,408
2022-06-06T00:00:00.000Z,0,20.7,2.8,1.8,3.9,3.992,583
2022-06-07T00:00:00.000Z,0,26.4,1.7,0.5,3.5,3.472,527
2022-06-08T00:00:00.000Z,0,30.9,1.2,0.2,3.2,3.759,270
2022-06-09T00:00:00.000Z,0,31.8,2.15,1.2,3.1,2.724,558
2022-06-10T00:00:00.000Z,0.3,15.2,3.65,2.4,5.9,2.84,610
2022-06-11T00:00:00.000Z,0.4,22,4.3,2.4,5.3,2.175,604
2022-06-12T00:00:00.000Z,3.7,34.3,13.7,5.5,18.5,6.635,633
2022-06-13T00:00:00.000Z,3.9,29.9,8.8,6.5,17.5,6.723,635
2022-06-14T00:00:00.000Z,7.1,32.2,21.6,16.25,24.35,6.231,640
2022-06-15T00:00:00.000Z,8,44.9,24.5,18.5,29.15,7.591,629
2022-06-16T00:00:00.000Z,4,24.9,11.1,9,16.35,4.711,637
2022-06-17T00:00:00.000Z,5,25.4,11.8,8.8,16.1,4.666,574
2022-06-18T00:00:00.000Z,0,20.9,4.7,1.2,15.8,7.163,603
