date,min,max,median,q1,q3,stdev,count
2022-04-06T00:00:00.000Z,0,58.7,15.5,3.9,26.8,13.982,251
2022-04-07T00:00:00.000Z,0,64.4,5.9,0.5,17.1,9.87,538
2022-04-08T00:00:00.000Z,0,63.2,1.85,0.5,7.9,16.601,456
2022-04-09T00:00:00.000Z,0,169.9,7.5,4.45,18.6,16.202,568
2022-04-10T00:00:00.000Z,0,27.8,3.9,2.29,5.5,3.111,551
2022-04-11T00:00:00.000Z,0,11.3,1,0.3,2.1,1.37,507
2022-04-12T00:00:00.000Z,0,31.1,1.6,0.5,3.3,4.315,475
2022-04-13T00:00:00.000Z,0,35.2,1.6,0.3,4.4,7.11,512
2022-04-14T00:00:00.000Z,0.1,30.9,5.7,3.4,11,5.9,598
2022-04-15T00:00:00.000Z,3.4,55.7,16.05,8.9,24.5,10.673,618
2022-04-16T00:00:00.000Z,13,69.2,26.5,20.3,32.6,9.321,611
2022-04-17T00:00:00.000Z,3.3,52.5,26.2,16.14,35.04,13.523,608
2022-04-18T00:00:00.000Z,0,52.2,3.4,0.5,7.4,5.305,552
2022-04-19T00:00:00.000Z,0,38.7,0.2,0.1,0.5,4.449,372
2022-04-20T00:00:00.000Z,0,25.1,0.5,0.1,1.2,1.689,371
2022-04-21T00:00:00.000Z,0,40.8,3.5,1.6,7.6,6.846,575
2022-04-22T00:00:00.000Z,0,48.4,4.1,0.75,15.05,9.735,480
2022-04-23T00:00:00.000Z,0,183.3,9.9,4.4,21.6,17.586,527
2022-04-24T00:00:00.000Z,0.7,45.7,10.9,5.2,23.5,11.379,595
2022-04-25T00:00:00.000Z,0,239.7,12.35,5.2,20.2,22.279,616
2022-04-26T00:00:00.000Z,0,123,10.3,6.6,16.39,13.711,608
2022-04-27T00:00:00.000Z,0,58.8,9,3.9,16.2,8.517,540
2022-04-28T00:00:00.000Z,0,39.6,3.65,1.1,9,7.179,586
2022-04-29T00:00:00.000Z,0,38.6,3.1,1.4,5.09,4.727,572
2022-04-30T00:00:00.000Z,1.3,60.4,14,8.2,22.4,9.969,594
2022-05-01T00:00:00.000Z,13.3,49.8,22.05,20.2,26.35,7.594,604
2022-05-02T00:00:00.000Z,3.9,31.8,13.85,7.15,22.5,7.924,592
2022-05-03T00:00:00.000Z,2.3,28.6,5.7,4.3,7.5,3.204,566
2022-05-04T00:00:00.000Z,4,56.6,9,7.3,10.8,5.421,611
2022-05-05T00:00:00.000Z,7,56.9,22.2,18.3,28.2,8.926,614
2022-05-06T00:00:00.000Z,6,55.5,21.25,17.39,27.15,10.236,600
2022-05-07T00:00:00.000Z,0,54.7,7.5,4.7,17.5,15.153,591
2022-05-08T00:00:00.000Z,3.9,32.2,9.9,7.6,14.4,4.828,594
2022-05-09T00:00:00.000Z,5.8,52.2,17.8,14.45,21.8,6.396,600
2022-05-10T00:00:00.000Z,0.1,49.9,22.5,17.8,26.8,8.683,599
2022-05-11T00:00:00.000Z,0.7,40.7,15.6,4.09,28.8,12.188,612
2022-05-12T00:00:00.000Z,1.1,28.8,14.4,6.6,19.05,6.609,608
2022-05-13T00:00:00.000Z,0,40.1,5.1,2.29,9.3,6.775,585
2022-05-14T00:00:00.000Z,0.5,63.9,6.2,3.3,18,9.063,607
2022-05-15T00:00:00.000Z,0,28.5,2.4,1.1,9.1,6.101,585
